
2026/07/22 (08:51:42) | ===> btop++ v.1.3.2
2026/07/22 (08:51:42) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (08:52:55) | ===> btop++ v.1.3.2
2026/07/22 (08:52:55) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (09:03:59) | ===> btop++ v.1.3.2
2026/07/22 (09:03:59) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (09:11:17) | ===> btop++ v.1.3.2
2026/07/22 (09:11:17) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (09:21:39) | ===> btop++ v.1.3.2
2026/07/22 (09:21:39) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (10:01:28) | ===> btop++ v.1.3.2
2026/07/22 (10:01:28) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (10:18:55) | ===> btop++ v.1.3.2
2026/07/22 (10:18:55) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (10:19:39) | ===> btop++ v.1.3.2
2026/07/22 (10:19:39) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (10:22:14) | ===> btop++ v.1.3.2
2026/07/22 (10:22:14) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (11:19:58) | ===> btop++ v.1.3.2
2026/07/22 (11:19:58) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (11:35:32) | ===> btop++ v.1.3.2
2026/07/22 (11:35:32) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (11:35:55) | ===> btop++ v.1.3.2
2026/07/22 (11:35:55) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (11:59:30) | ===> btop++ v.1.3.2
2026/07/22 (11:59:30) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (11:59:40) | ===> btop++ v.1.3.2
2026/07/22 (11:59:40) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (12:22:15) | ===> btop++ v.1.3.2
2026/07/22 (12:22:15) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (12:24:51) | ===> btop++ v.1.3.2
2026/07/22 (12:24:51) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (13:19:46) | ===> btop++ v.1.3.2
2026/07/22 (13:19:46) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (13:26:05) | ===> btop++ v.1.3.2
2026/07/22 (13:26:05) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (13:54:57) | ===> btop++ v.1.3.2
2026/07/22 (13:54:57) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (13:59:19) | ===> btop++ v.1.3.2
2026/07/22 (13:59:19) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (14:02:27) | ===> btop++ v.1.3.2
2026/07/22 (14:02:27) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (14:08:15) | ===> btop++ v.1.3.2
2026/07/22 (14:08:15) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (14:41:34) | ===> btop++ v.1.3.2
2026/07/22 (14:41:34) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (17:42:14) | ===> btop++ v.1.3.2
2026/07/22 (17:42:14) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (17:44:40) | ===> btop++ v.1.3.2
2026/07/22 (17:44:40) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (18:22:07) | ===> btop++ v.1.3.2
2026/07/22 (18:22:07) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (17:48:06) | ===> btop++ v.1.3.2
2026/07/22 (17:48:06) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (18:37:59) | ===> btop++ v.1.3.2
2026/07/22 (18:37:59) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (19:23:34) | ===> btop++ v.1.3.2
2026/07/22 (19:23:34) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (19:38:02) | ===> btop++ v.1.3.2
2026/07/22 (19:38:02) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (20:35:26) | ===> btop++ v.1.3.2
2026/07/22 (20:35:26) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (20:38:17) | ===> btop++ v.1.3.2
2026/07/22 (20:38:17) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (20:38:32) | ===> btop++ v.1.3.2
2026/07/22 (20:38:32) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (22:43:35) | ===> btop++ v.1.3.2
2026/07/22 (22:43:35) | WARNING: Failed to join _runner thread on exit!

2026/07/22 (22:47:46) | ===> btop++ v.1.3.2
2026/07/22 (22:47:46) | WARNING: Failed to join _runner thread on exit!

2026/07/23 (00:28:52) | ===> btop++ v.1.3.2
2026/07/23 (00:28:52) | WARNING: Failed to join _runner thread on exit!

2026/07/23 (00:29:28) | ===> btop++ v.1.3.2
2026/07/23 (00:29:28) | WARNING: Failed to join _runner thread on exit!

2026/07/23 (07:17:17) | ===> btop++ v.1.3.2
2026/07/23 (07:17:17) | WARNING: Failed to join _runner thread on exit!
